,time,open,high,low,close,volume,ticker
815,2021-06-04,12790,12880,12440,12880,28089300,POW
816,2021-06-07,13080,13230,12590,12690,16365800,POW
817,2021-06-08,12490,12590,11850,11900,17997100,POW
818,2021-06-09,11800,12000,11610,11900,14736400,POW
819,2021-06-10,11900,12000,11610,11700,11510500,POW
820,2021-06-11,11700,11950,11700,11850,7187300,POW
821,2021-06-14,11950,12150,11800,12000,10929200,POW
822,2021-06-15,12000,12150,11800,11850,7093600,POW
823,2021-06-16,11850,12100,11800,11850,8674000,POW
824,2021-06-17,11750,12390,11700,12200,16648000,POW
825,2021-06-18,12390,12390,12050,12100,9572300,POW
826,2021-06-21,12100,12490,12000,12300,17757700,POW
827,2021-06-22,12390,12590,12300,12340,13555100,POW
828,2021-06-23,12390,12440,12000,12100,8212200,POW
829,2021-06-24,12050,12150,11850,11950,9627100,POW
830,2021-06-25,11950,12050,11750,11950,8387300,POW
831,2021-06-28,12000,12050,11900,11950,6854600,POW
832,2021-06-29,12000,12050,11850,11850,7940100,POW
833,2021-06-30,11850,12100,11800,11850,8039100,POW
834,2021-07-01,11850,11950,11750,11900,7807900,POW
835,2021-07-02,11900,12000,11800,11800,6398400,POW
836,2021-07-05,11750,11800,11460,11510,15564100,POW
837,2021-07-06,11560,11660,11260,11260,10712400,POW
838,2021-07-07,11260,11410,11020,11210,10777600,POW
839,2021-07-08,11210,11360,11120,11160,6718600,POW
840,2021-07-09,11120,11120,10620,10620,12818700,POW
841,2021-07-12,10620,10670,9880,9980,17743200,POW
842,2021-07-13,10030,10380,9930,10380,10741600,POW
843,2021-07-14,10430,10520,10180,10280,6468200,POW
844,2021-07-15,10280,10520,10130,10520,5825100,POW
845,2021-07-16,10520,10520,10330,10430,5733300,POW
846,2021-07-19,10130,10230,9820,9930,11011600,POW
847,2021-07-20,10030,10130,9880,10130,7529300,POW
848,2021-07-21,10130,10230,10030,10080,4317000,POW
849,2021-07-22,10130,10330,10030,10180,8910900,POW
850,2021-07-23,10230,10570,10230,10330,12222200,POW
851,2021-07-26,10230,10380,10180,10330,3884200,POW
852,2021-07-27,10430,10770,10380,10620,11297500,POW
853,2021-07-28,10520,10620,10430,10430,5322700,POW
854,2021-07-29,10520,10520,10380,10480,4549800,POW
855,2021-07-30,10480,10620,10380,10520,7996900,POW
856,2021-08-02,10520,10720,10480,10570,8168300,POW
857,2021-08-03,10620,10670,10520,10620,5277700,POW
858,2021-08-04,10620,10770,10570,10670,7259300,POW
859,2021-08-05,10620,10720,10520,10620,5149400,POW
860,2021-08-06,10620,11020,10570,10820,13384300,POW
861,2021-08-09,10870,11020,10720,10970,6608900,POW
862,2021-08-10,11020,11210,10970,11070,8710300,POW
863,2021-08-11,11070,11560,11020,11260,14088400,POW
864,2021-08-12,11310,11360,11160,11160,7889100,POW
865,2021-08-13,11120,11260,10920,11120,9936000,POW
866,2021-08-16,11120,11360,11120,11260,9434700,POW
867,2021-08-17,11310,11310,11120,11160,6582200,POW
868,2021-08-18,11160,11260,11070,11210,7345200,POW
869,2021-08-19,11210,11210,11070,11160,6789800,POW
870,2021-08-20,11160,11210,10570,10720,15373900,POW
871,2021-08-23,10670,10720,10380,10380,8650400,POW
872,2021-08-24,10430,10570,10230,10380,9744200,POW
873,2021-08-25,10480,11070,10380,11070,13848200,POW
874,2021-08-26,11410,11460,11020,11160,11872100,POW
875,2021-08-27,11070,11800,10870,11700,26372500,POW
876,2021-08-30,11800,12000,11660,11750,13098400,POW
877,2021-08-31,11750,11800,11560,11660,9509900,POW
878,2021-09-01,11560,12250,11510,12250,29625300,POW
879,2021-09-06,12300,12540,12150,12200,14454100,POW
880,2021-09-07,12200,12300,11850,11850,14859100,POW
881,2021-09-08,11800,12000,11660,11700,12086400,POW
